cycle	indiction_year	not_before	not_after	godot_uri
1	1	0311-08-29	0312-08-28	https://godot.date/id/cCcwKqjaQEt9CjctyK2JbC
1	2	0312-08-29	0313-08-28	https://godot.date/id/Zc4s6ZkCndAjntPhsSRgpM
1	3	0313-08-29	0314-08-28	https://godot.date/id/PkKQY696puS7dhybGvJ5Nf
1	4	0314-08-29	0315-08-29	https://godot.date/id/w3JhJ97mQdLxttMY5JeGAe
1	5	0315-08-30	0316-08-28	https://godot.date/id/PcewvdP2f7R8C222tbe5tW
1	6	0316-08-29	0317-08-28	https://godot.date/id/rKxorKZrsMVDvQT5jmYjEH
1	7	0317-08-29	0318-08-28	https://godot.date/id/saQ2RxikzYGVrcwyNXdKih
1	8	0318-08-29	0319-08-29	https://godot.date/id/ykvoGfZpQNSsffGWL6ryQ7
1	9	0319-08-30	0320-08-28	https://godot.date/id/ZdwjDB3BgFps5SEgKkpAGE
1	10	0320-08-29	0321-08-28	https://godot.date/id/tb4ea42QVeTVQtPrasJ7gh
1	11	0321-08-29	0322-08-28	https://godot.date/id/PNxTWZNtftB9YnuFLtG2GN
1	12	0322-08-29	0323-08-29	https://godot.date/id/FMSkU2NAqHqjrShYpuY3YA
1	13	0323-08-30	0324-08-28	https://godot.date/id/wdaTRa8syRswiLA3TdscZ6
1	14	0324-08-29	0325-08-28	https://godot.date/id/BdHs4Jp8CFjwLPo7inDqCV
1	15	0325-08-29	0326-08-28	https://godot.date/id/2P7fLwrzoco3TNVAVMJi7K
2	1	0326-08-29	0327-08-29	https://godot.date/id/Zfm9ouQURNoYuwcogZiLfX
2	2	0327-08-30	0328-08-28	https://godot.date/id/jxdMTNNFidns5YtRJp4qD6
2	3	0328-08-29	0329-08-28	https://godot.date/id/G7pPcng8rGkjjjiXqxr3Pj
2	4	0329-08-29	0330-08-28	https://godot.date/id/NvFy4yauuaWffdnYKikMFH
2	5	0330-08-29	0331-08-29	https://godot.date/id/y4DqKDUfThQdadinhfnv8f
2	6	0331-08-30	0332-08-28	https://godot.date/id/Nn8ZCX44BxULLYChrSrHqP
2	7	0332-08-29	0333-08-28	https://godot.date/id/3mQboDfAiLWk3JFVTQqoGc
2	8	0333-08-29	0334-08-28	https://godot.date/id/b79gXUikpfQpZ6h9vgL82J
2	9	0334-08-29	0335-08-29	https://godot.date/id/UMSki6rF93HaMP3nyMfaq2
2	10	0335-08-30	0336-08-28	https://godot.date/id/KF3nLfaYnuCLKcodkiESCS
2	11	0336-08-29	0337-08-28	https://godot.date/id/9GRcbwtNRTpD7pmrhychz5
2	12	0337-08-29	0338-08-28	https://godot.date/id/YouLiNbXHo263ozzChyV5i
2	13	0338-08-29	0339-08-29	https://godot.date/id/E7LTTVBBe4UvJCF44EagGQ
2	14	0339-08-30	0340-08-28	https://godot.date/id/HyAsmVVTc9kpmr6QirFHyg
2	15	0340-08-29	0341-08-28	https://godot.date/id/Vr9SZSqF3Xu7cFQvZqKCH9
3	1	0341-08-29	0342-08-28	https://godot.date/id/U7gUxdQXf5sN3ySW4rJuZA
3	2	0342-08-29	0343-08-29	https://godot.date/id/MN9b8r59o63ACrNjigAouG
3	3	0343-08-30	0344-08-28	https://godot.date/id/zUBY3boSFpra9op28GYJd3
3	4	0344-08-29	0345-08-28	https://godot.date/id/uEbjrQnCzSS45a5aNvbtkU
3	5	0345-08-29	0346-08-28	https://godot.date/id/dTHVwxJTMkdYnfNRw4QgYd
3	6	0346-08-29	0347-08-29	https://godot.date/id/ZPfYwJfgAPciXwhoCTr6Vb
3	7	0347-08-30	0348-08-28	https://godot.date/id/LnBudVKVv6xnWJUxXWif9T
3	8	0348-08-29	0349-08-28	https://godot.date/id/BS7KU73m559kNyyMew7x9Q
3	9	0349-08-29	0350-08-28	https://godot.date/id/HafwT2sCfP6KSWCZJGut25
3	10	0350-08-29	0351-08-29	https://godot.date/id/wntFvS4pSmciVzTGEyBAEg
3	11	0351-08-30	0352-08-28	https://godot.date/id/U27qkz5ThrNwJsJ5piKmVN
3	12	0352-08-29	0353-08-28	https://godot.date/id/xFRip7Jia9cs6y7f2vdECd
3	13	0353-08-29	0354-08-28	https://godot.date/id/UZ7MmH4c83LDqv53mdaR9X
3	14	0354-08-29	0355-08-29	https://godot.date/id/F6GK2BLyymLELJXxnM4WJ6
3	15	0355-08-30	0356-08-28	https://godot.date/id/zWJFyK93NevdFforkoQrJF
4	1	0356-08-29	0357-08-28	https://godot.date/id/QZvjxwkRxRmRZcwNT23Y78
4	2	0357-08-29	0358-08-28	https://godot.date/id/q6Q6KAfecWTBmB7KVtzHZT
4	3	0358-08-29	0359-08-29	https://godot.date/id/kdnRfKFJksCdHNbH39LDwj
4	4	0359-08-30	0360-08-28	https://godot.date/id/dWVnG6MbERRwBPWXNpp2qR
4	5	0360-08-29	0361-08-28	https://godot.date/id/62jDTEBgtjJWnZxvUbbfPT
4	6	0361-08-29	0362-08-28	https://godot.date/id/K7svMXHqKZGK5mokv5SN3B
4	7	0362-08-29	0363-08-29	https://godot.date/id/FbmAAgMAnFph8YXFk83yRL
4	8	0363-08-30	0364-08-28	https://godot.date/id/sm6UCHaHWtSbquBXHZi9jX
4	9	0364-08-29	0365-08-28	https://godot.date/id/Ni52oZ8sCRkx9UNeV8aZ7J
4	10	0365-08-29	0366-08-28	https://godot.date/id/EVam5fNeoSDksegAchDZe9
4	11	0366-08-29	0367-08-29	https://godot.date/id/dGtcF6vvHZp5ptguzZ55dg
4	12	0367-08-30	0368-08-28	https://godot.date/id/BKHVTZXt3HDscnZan63HxZ
4	13	0368-08-29	0369-08-28	https://godot.date/id/YmAFz4Dm3hvWtvQAQ3QrWY
4	14	0369-08-29	0370-08-28	https://godot.date/id/vqEAhUK4y9HWc3WGrbCZHM
4	15	0370-08-29	0371-08-29	https://godot.date/id/4myUpZ7THs5csqkovy4WmS
5	1	0371-08-30	0372-08-28	https://godot.date/id/6QcDEb8ocWr9T2NaWwEdCX
5	2	0372-08-29	0373-08-28	https://godot.date/id/oPtkyVw8Dk4HQr33c7jcYA
5	3	0373-08-29	0374-08-28	https://godot.date/id/nrTcnYPEJiKFYWnTP92NYe
5	4	0374-08-29	0375-08-29	https://godot.date/id/qbXNMY6undvGrCm2C7q9nZ
5	5	0375-08-30	0376-08-28	https://godot.date/id/LtrMT97PxdzvrFtrcaYpmf
5	6	0376-08-29	0377-08-28	https://godot.date/id/P9ryn3Jjk7wWrcCq6qzCE9
5	7	0377-08-29	0378-08-28	https://godot.date/id/QjBP66dbodv2zYDiBdxggh
5	8	0378-08-29	0379-08-29	https://godot.date/id/TRWwsKymhLriE6eTChWwU7
5	9	0379-08-30	0380-08-28	https://godot.date/id/BbDK85gcNk6wTCWoeSuMk9
5	10	0380-08-29	0381-08-28	https://godot.date/id/witZCEXT9EsncnL94fsxCN
5	11	0381-08-29	0382-08-28	https://godot.date/id/vYvWVbXLttwKsNZroubF7F
5	12	0382-08-29	0383-08-29	https://godot.date/id/rgMALx9rZisAEnfqwcALmZ
5	13	0383-08-30	0384-08-28	https://godot.date/id/aTsPwP8vYVbTUrBc4sSkWn
5	14	0384-08-29	0385-08-28	https://godot.date/id/AZJqSxesd5tcyNh2T8oSmX
5	15	0385-08-29	0386-08-28	https://godot.date/id/MmPr8cVw5KUrjawpDzj2V4
6	1	0386-08-29	0387-08-29	https://godot.date/id/vLtsoCQiMSWf76Q98hxiTV
6	2	0387-08-30	0388-08-28	https://godot.date/id/Fx2G3oRYzznuhkkhe5dzA9
6	3	0388-08-29	0389-08-28	https://godot.date/id/F2GtMBes4btVj25fNm83mi
6	4	0389-08-29	0390-08-28	https://godot.date/id/pPYYVyHsVJU7QJfvaSDmmP
6	5	0390-08-29	0391-08-29	https://godot.date/id/5bC4a5T2PBiBGvyUj9p9id
6	6	0391-08-30	0392-08-28	https://godot.date/id/6c8zrSX2d3x9EcX7TWXWZB
6	7	0392-08-29	0393-08-28	https://godot.date/id/SPZciy5hUFgS9yZNpy3adk
6	8	0393-08-29	0394-08-28	https://godot.date/id/vFdf7YBFi4fTLyfEK3RtGK
6	9	0394-08-29	0395-08-29	https://godot.date/id/jbeJi63hm8TxZezTVNdvrn
6	10	0395-08-30	0396-08-28	https://godot.date/id/8fDRkUPYnwtKRf667K7Cf6
6	11	0396-08-29	0397-08-28	https://godot.date/id/Tjsnoa9aMuPpuk3799m8nV
6	12	0397-08-29	0398-08-28	https://godot.date/id/8jXfrtfJ3F7CV9jd6xh3aT
6	13	0398-08-29	0399-08-29	https://godot.date/id/agFgo2LFz8A7xu8zduNFyJ
6	14	0399-08-30	0400-08-28	https://godot.date/id/fLQiCZrN57BxLNJvNMSEE5
6	15	0400-08-29	0401-08-28	https://godot.date/id/ciQSX9dEeWe34RVLbYxVHX
7	1	0401-08-29	0402-08-28	https://godot.date/id/UVKsTpHd3VX2KR2yfNwJPJ
7	2	0402-08-29	0403-08-29	https://godot.date/id/8cCqXp7wMcP9CRXJ5AgY3c
7	3	0403-08-30	0404-08-28	https://godot.date/id/BNSWJAwcWyZPWkEdwHm6G4
7	4	0404-08-29	0405-08-28	https://godot.date/id/hTgDt894imQj7imFf8UtDG
7	5	0405-08-29	0406-08-28	https://godot.date/id/rS6hhnwGhnXcQdBvYXqfMV
7	6	0406-08-29	0407-08-29	https://godot.date/id/K2jPjPimHiiPGJZcY7A2jd
7	7	0407-08-30	0408-08-28	https://godot.date/id/aajy4QTZumWAp2qUTUoYuh
7	8	0408-08-29	0409-08-28	https://godot.date/id/pxLrKTJCk3G7WJ3therutA
7	9	0409-08-29	0410-08-28	https://godot.date/id/wTd5n3KugV6538izoBYKxJ
7	10	0410-08-29	0411-08-29	https://godot.date/id/ToPbpV3w8MBZkp6ZNMAebK
7	11	0411-08-30	0412-08-28	https://godot.date/id/xnJHbJNiLVxRDLrt2kLYPU
7	12	0412-08-29	0413-08-28	https://godot.date/id/LZ8mhymUhgVenkx6uFrio9
7	13	0413-08-29	0414-08-28	https://godot.date/id/GzQuf76CfRBHZxqrg4TxdN
7	14	0414-08-29	0415-08-29	https://godot.date/id/wbR892xXj6aMTbmXxUBCTk
7	15	0415-08-30	0416-08-28	https://godot.date/id/oZqubFPxqWUpHpbBi4DW9c
8	1	0416-08-29	0417-08-28	https://godot.date/id/yrtTLDeD5FYtcrkcta94AP
8	2	0417-08-29	0418-08-28	https://godot.date/id/HcBTX83bVxJtTStLAH2Bgk
8	3	0418-08-29	0419-08-29	https://godot.date/id/B7BXpACRKeuUxrCBTgnzwA
8	4	0419-08-30	0420-08-28	https://godot.date/id/BuidaWWNuGYe8ugQuXJNfR
8	5	0420-08-29	0421-08-28	https://godot.date/id/nUPJHfvmywaxqSpWFimckc
8	6	0421-08-29	0422-08-28	https://godot.date/id/MxoT44EzduB6NLRxjjtyjH
8	7	0422-08-29	0423-08-29	https://godot.date/id/acuN5YRxFym8XWALmcashU
8	8	0423-08-30	0424-08-28	https://godot.date/id/joeRAWbsF9r2zBpCVQsjSj
8	9	0424-08-29	0425-08-28	https://godot.date/id/TBgThjaG8eeKCbpYtxpTNG
8	10	0425-08-29	0426-08-28	https://godot.date/id/SLmQVLVT96u96apcBFcFom
8	11	0426-08-29	0427-08-29	https://godot.date/id/FjphYdv9r4stUt9xzXDy2k
8	12	0427-08-30	0428-08-28	https://godot.date/id/oT7nitCEAxQSw6KygAbjNW
8	13	0428-08-29	0429-08-28	https://godot.date/id/tZtZXE4s3PEKBr5sS7sjyn
8	14	0429-08-29	0430-08-28	https://godot.date/id/d4wPkyV5JSJR3xzCfs7zjb
8	15	0430-08-29	0431-08-29	https://godot.date/id/BUkaefYHL2tLPA2vpcqA2g
9	1	0431-08-30	0432-08-28	https://godot.date/id/5ZX9wrMA87dWmbPtqym3gX
9	2	0432-08-29	0433-08-28	https://godot.date/id/FYSH4JQEDCgu9YKeMMB9cT
9	3	0433-08-29	0434-08-28	https://godot.date/id/titAWbazAAFfz5DQVCmukQ
9	4	0434-08-29	0435-08-29	https://godot.date/id/z4u8AvBjjdjQKAYzLiULQU
9	5	0435-08-30	0436-08-28	https://godot.date/id/EZUCyo3QYtUjh8xg3i5PJa
9	6	0436-08-29	0437-08-28	https://godot.date/id/2wTsvtiRMKMiUvJTzP2VJA
9	7	0437-08-29	0438-08-28	https://godot.date/id/6K3X9uo3rnAEjmNZ9mpoYd
9	8	0438-08-29	0439-08-29	https://godot.date/id/5d5LTPDMiibDeiPsqGrjEQ
9	9	0439-08-30	0440-08-28	https://godot.date/id/kNMNEmzvAS8gnyB3wjdDvD
9	10	0440-08-29	0441-08-28	https://godot.date/id/U5Aasm4itMvyrMSzgj5FFX
9	11	0441-08-29	0442-08-28	https://godot.date/id/cCrVzgWt9D5wQpLJWwA6if
9	12	0442-08-29	0443-08-29	https://godot.date/id/hPa69UwouLMqU5KG2LKH9f
9	13	0443-08-30	0444-08-28	https://godot.date/id/n4b6pH7U6Xz9FLhQAJHZic
9	14	0444-08-29	0445-08-28	https://godot.date/id/x9ksMuHieFuH7rXUgNoqaZ
9	15	0445-08-29	0446-08-28	https://godot.date/id/Kj4v8eqDdA6zpuLvhLtook
10	1	0446-08-29	0447-08-29	https://godot.date/id/E4EvUpMrFCKDz67bxVnN9N
10	2	0447-08-30	0448-08-28	https://godot.date/id/AoRk7WMhTL6p3dNAT7Rd8V
10	3	0448-08-29	0449-08-28	https://godot.date/id/ZKT7dTBKP2q2u2MFa4VqfJ
10	4	0449-08-29	0450-08-28	https://godot.date/id/WzhFEU8sDPP3okgBVwK2VU
10	5	0450-08-29	0451-08-29	https://godot.date/id/eF9JKZWQAcVXrYb9Sv777e
10	6	0451-08-30	0452-08-28	https://godot.date/id/5VAAxFxpceUTDrKSTMeGoY
10	7	0452-08-29	0453-08-28	https://godot.date/id/WHF5M2JskrcSHEcvhLbHZg
10	8	0453-08-29	0454-08-28	https://godot.date/id/F3UyPby9WNovGcEQhZVyfY
10	9	0454-08-29	0455-08-29	https://godot.date/id/Zv5iTJ22qETt4o8heE7pZa
10	10	0455-08-30	0456-08-28	https://godot.date/id/Phw5SRDFtawRf4znPyCWAY
10	11	0456-08-29	0457-08-28	https://godot.date/id/M4LiMSjDt8e9hEfH7xXjz4
10	12	0457-08-29	0458-08-28	https://godot.date/id/ptGjQZbMS3XswztaWquide
10	13	0458-08-29	0459-08-29	https://godot.date/id/fKD4fBqBZnVuVkDgfjPaK9
10	14	0459-08-30	0460-08-28	https://godot.date/id/NJrDnhGBpyC8wtYjDYQggb
10	15	0460-08-29	0461-08-28	https://godot.date/id/KL9kNE37P6hgPS55mxBnMV
11	1	0461-08-29	0462-08-28	https://godot.date/id/HrbMDEZvK9ToqvjWNncBPG
11	2	0462-08-29	0463-08-29	https://godot.date/id/xhkB9e8YpPAnYkRc6DvWjU
11	3	0463-08-30	0464-08-28	https://godot.date/id/B8psqU3GR762WJjhw9QR75
11	4	0464-08-29	0465-08-28	https://godot.date/id/8k7fzWVYmuiP8zFWt5JafL
11	5	0465-08-29	0466-08-28	https://godot.date/id/AsifcMS3tHgdfGmby6w76d
11	6	0466-08-29	0467-08-29	https://godot.date/id/5zvdDd22Hh9bjrSjCvzVQg
11	7	0467-08-30	0468-08-28	https://godot.date/id/w3MGti95BGCR6Fm3EpGcvE
11	8	0468-08-29	0469-08-28	https://godot.date/id/4TNHdPHhDDRTRntnCocuaZ
11	9	0469-08-29	0470-08-28	https://godot.date/id/3VEApxmMjuWeZpGycQd5J3
11	10	0470-08-29	0471-08-29	https://godot.date/id/sNGCJaPKrUfKUBXHMoAKWh
11	11	0471-08-30	0472-08-28	https://godot.date/id/RFLFmdsGveFQbQVEdFXRWj
11	12	0472-08-29	0473-08-28	https://godot.date/id/u3dUW2zCJLewVFSnFsRQt8
11	13	0473-08-29	0474-08-28	https://godot.date/id/a5FQg3AwZxSFoPxXpJch65
11	14	0474-08-29	0475-08-29	https://godot.date/id/yJKa4jSrdEVLyYePHbe9u2
11	15	0475-08-30	0476-08-28	https://godot.date/id/VvCXiSJoGkS8mDtoygzCYN
12	1	0476-08-29	0477-08-28	https://godot.date/id/kaerZ8sLHZTKCL4JnL3EEj
12	2	0477-08-29	0478-08-28	https://godot.date/id/R4AqXRYwfLqUhLfPUb3cuY
12	3	0478-08-29	0479-08-29	https://godot.date/id/N6uvpBRD4fAyqstx2KzUhj
12	4	0479-08-30	0480-08-28	https://godot.date/id/kntqubiex3EKpzVigu3KKd
12	5	0480-08-29	0481-08-28	https://godot.date/id/8BQBmDz35ikArTntzodyy3
12	6	0481-08-29	0482-08-28	https://godot.date/id/GGrZriMhrQ4PW87cyRbt43
12	7	0482-08-29	0483-08-29	https://godot.date/id/awkuTWLQdaEBCfmtBDLmJk
12	8	0483-08-30	0484-08-28	https://godot.date/id/Dhe8ENTx8UEpcxptgUAUPR
12	9	0484-08-29	0485-08-28	https://godot.date/id/qt4CMecSYFYnvdHa7jYE9T
12	10	0485-08-29	0486-08-28	https://godot.date/id/fXZ7pewZVjKCowAt3Ui9KL
12	11	0486-08-29	0487-08-29	https://godot.date/id/NhYLxyKqqNzKMVhDegzW4M
12	12	0487-08-30	0488-08-28	https://godot.date/id/sVkxBsyt4g5sKy5Cnwy8AH
12	13	0488-08-29	0489-08-28	https://godot.date/id/PqDcsuitD4VPFJR6YD7sue
12	14	0489-08-29	0490-08-28	https://godot.date/id/jHV4aYdqaKpHpaQopprDkj
12	15	0490-08-29	0491-08-29	https://godot.date/id/Fc8MEKEduQ6Xkm3fGFr2YK
13	1	0491-08-30	0492-08-28	https://godot.date/id/ARSThbCFmBBvFqyWLaFgBb
13	2	0492-08-29	0493-08-28	https://godot.date/id/HkRghspCZV3mymPTGmuMFD
13	3	0493-08-29	0494-08-28	https://godot.date/id/DZJkY2FmX6ewkkYzBEKZqi
13	4	0494-08-29	0495-08-29	https://godot.date/id/LxX7opvc7FNyYPgNNRuC43
13	5	0495-08-30	0496-08-28	https://godot.date/id/fcEUnZTHygDBUmrj8qHtHC
13	6	0496-08-29	0497-08-28	https://godot.date/id/2mkFRqozh3bBQupuMELVm3
13	7	0497-08-29	0498-08-28	https://godot.date/id/EXDDVd4HwiHos4EqfHzW4L
13	8	0498-08-29	0499-08-29	https://godot.date/id/QskCrnXnWEWGvNrTckRa8E
13	9	0499-08-30	0500-08-28	https://godot.date/id/CfYfLCxFCurVgj6ysXQVah
13	10	0500-08-29	0501-08-28	https://godot.date/id/wXUNJpauAHoVJuho69xRML
13	11	0501-08-29	0502-08-28	https://godot.date/id/fjdkcTaeSFGvj394s2RtQe
13	12	0502-08-29	0503-08-29	https://godot.date/id/SQVuLLGqvN4fqaA9sekCaM
13	13	0503-08-30	0504-08-28	https://godot.date/id/Q528ELbGgPLAJm8UmQwbFf
13	14	0504-08-29	0505-08-28	https://godot.date/id/tNRZgLwToijP2cLKsEhnJZ
13	15	0505-08-29	0506-08-28	https://godot.date/id/L7yrV2sdheRsfWZSZcYfQT
14	1	0506-08-29	0507-08-29	https://godot.date/id/BSsE3c7QWMrPcRkExyfWHB
14	2	0507-08-30	0508-08-28	https://godot.date/id/tjPTv3YMLreNHdNP2EUVca
