emperor_label	wikidata_uri	consulate	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri	part_of_consulate		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	12		0086-01-01	0086-01-13	0087-01-01			https://godot.date/id/Y9eNwoz35iDSLDBhE7SBy6	https://godot.date/id/g2rCm4XNu99juWETTRR6db		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	13		0087-01-01	0087-01-13	0088-01-01			https://godot.date/id/eaW2vXRqcEyA9VSKCmY8u3	https://godot.date/id/qkLCFmTvGJFYWhu2ibzTHk		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	14		0088-01-01	0088-01-13	0090-01-01			https://godot.date/id/p3XpFR23SRica4WZBQgEmP	https://godot.date/id/fcrmyVLzDf6eJma9TscRZQ		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	15		0090-01-01	0090-01-13	0092-01-01			https://godot.date/id/g6eq3rFjg4SSVx7DPqnNcZ	https://godot.date/id/7YsEPCykd5xUderr6UiNGb		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	16		0092-01-01	0092-01-13	0095-01-01			https://godot.date/id/9U6aS9WJp6RRatiCXn8JQA	https://godot.date/id/8z8JNuLf453uFTmxkumAKX		
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	17		0095-01-01	0095-01-13	0096-09-18			https://godot.date/id/hW8tyEUVpLBTpZtYhiXhaQ	https://godot.date/id/FgPxWerUFqhpASBADHkNzf		
Nerva	https://www.wikidata.org/wiki/Q1424	cos.	1		0071-01-01	0071-02-28	0090-01-01	TRUE		https://godot.date/id/xaWUPPfigu4dzGLUZURiym	https://godot.date/id/t6mAC33sNRt9z8APpg5QGA		
Nerva	https://www.wikidata.org/wiki/Q1424	cos.	2		0090-01-01	0090-02-28	0096-10-10	TRUE		https://godot.date/id/LgCaYUxNvhyF4WYdcXZpAZ	https://godot.date/id/7YsEPCykd5xUderr6UiNGb ; https://godot.date/id/Y4q5kbgcVR6eGyMCe6qjNe		
Nerva	https://www.wikidata.org/wiki/Q1424	cos. design.	3		0096-10-10		0097-01-01	TRUE		https://godot.date/id/QTs5TYmMZurD8hgqfHDSz7			
Nerva	https://www.wikidata.org/wiki/Q1424	cos.	3		0097-01-01	0097-02-28	0097	TRUE		https://godot.date/id/ar3u3T4g9YZzSsT3CE43ZP	https://godot.date/id/omR9Cm437MxSVp6fFnRRJE		
Nerva	https://www.wikidata.org/wiki/Q1424	cos. design.	4		0097		0098-01-01	TRUE	end of year 97 AD	https://godot.date/id/uyt2rBV5CAPGFkq4Nu2dW3			
Nerva	https://www.wikidata.org/wiki/Q1424	cos.	4		0098-01-01	0098-01-13	0098-01-27			https://godot.date/id/FxMXsndJDoxocXz26AFTbG	https://godot.date/id/vZxVFjqGB4PG5QJEZUTQiW		
Trajan	https://www.wikidata.org/wiki/Q1425	cos.	1		0091-01-01	0091-04-30	0098-01			https://godot.date/id/avAPLqBtjNPyMrzFrYf8sA	https://godot.date/id/W7s3YwtEZNi6RnDde9MHQ6		
Trajan	https://www.wikidata.org/wiki/Q1425	cos.	2		0098-01	0098-06	0099-11			https://godot.date/id/uaxiix6g2goLuvbM4Z9AiS	https://godot.date/id/vZxVFjqGB4PG5QJEZUTQiW ; https://godot.date/id/Uv4qLtfeA4edx4i6iwKApC ; https://godot.date/id/fghCPANFbJsgaDDej6Y7pY ; https://godot.date/id/WfG32Qnj5rjMrnbeKHFmdH ; https://godot.date/id/n8LxVTm9cApZgxiSQQaqhL ; https://godot.date/id/nwF99uCLphN3FuiJyjpjMm		
Trajan	https://www.wikidata.org/wiki/Q1425	cos. design.	3		0099-11		0100-01-01	TRUE	after 6. or 12. November 99 AD	https://godot.date/id/2zAFcic8VURmGnHDMQUs7F			
Trajan	https://www.wikidata.org/wiki/Q1425	cos.	3		0100-01-01	0100-02-28	0100-10	TRUE		https://godot.date/id/kwCCEj9e3L7EjywDRYMenn	https://godot.date/id/V58JgBc6fy4foztfLN2YMJ		
Trajan	https://www.wikidata.org/wiki/Q1425	cos. design.	4		0100-10		0101-01-01			https://godot.date/id/SgCetuZf7NbiDFYTo2kJpk			
Trajan	https://www.wikidata.org/wiki/Q1425	cos.	4		0101-01-01	0101-03	0102-10	TRUE	until end of March 101 AD	https://godot.date/id/Pr9Sbc7Nj8NuN8EXrAnhpJ	https://godot.date/id/hJ4i5bVBypWjzGJuenYUhF		
Trajan	https://www.wikidata.org/wiki/Q1425	cos. design.	5		0102-10		0103-01-01			https://godot.date/id/ps3TX4tkQMi6rabSrCk36b			
Trajan	https://www.wikidata.org/wiki/Q1425	cos.	5		0103-01-01	0103-01-13	0111-10			https://godot.date/id/cTiCg78ZDL3h8ARQqgGDRh	https://godot.date/id/zuowS8JziefdVKGtW87zgm		
Trajan	https://www.wikidata.org/wiki/Q1425	cos. design.	6		0111-10		0112-01-01			https://godot.date/id/huRhzCKT9hPMizKGSxNeYf			
Trajan	https://www.wikidata.org/wiki/Q1425	cos.	6		0112-01-01	0112-01-13	0117-08-07	TRUE		https://godot.date/id/awirK3kfDFFdHDrb5kiiXe	https://godot.date/id/e5jdHY46XWJeEpgYdGvRq8		
Hadrian	https://www.wikidata.org/wiki/Q1427	cos. suff.	1		0108-05	0108-08	0117-08-11			https://godot.date/id/XWY2tZnAVtP6q7L7K8HHfM	https://godot.date/id/ze9VR26nKVYpkjkp47RRmM		
Hadrian	https://www.wikidata.org/wiki/Q1427	cos. design.	2		0117-08-11		0118-01-01	TRUE		https://godot.date/id/Ky2SgPDXVFHoNxXHbmzAaf			
Hadrian	https://www.wikidata.org/wiki/Q1427	cos.	2		0118-01-01	0118-06-30	0118-10	TRUE		https://godot.date/id/jXMGMmNAAUbz5Df7wQYEtf	https://godot.date/id/LnVxGvQ627PpU9czPHYdtB ; https://godot.date/id/DvSbZjKGKNJ3auB7VrJd6U ; https://godot.date/id/SWHrWPNJsniVYFedvFny35		
Hadrian	https://www.wikidata.org/wiki/Q1427	cos. design.	3		0118-10		0119-01-01		end of October 118 AD	https://godot.date/id/E5HJusDevxZJJAbseDDXgL			
Hadrian	https://www.wikidata.org/wiki/Q1427	cos.	3		0119-01-01	0119-04-30	0138-07-10	TRUE		https://godot.date/id/qv3E6VeUBn64ErZgNdNhtb	https://godot.date/id/qn6kJhmpQjRpBqCWwS3AjG ; https://godot.date/id/bRNRFXph6oTsTuzsWADnZV		
Antoninus Pius	https://www.wikidata.org/wiki/Q1429	cos.	1		0120-01-01	0120-04	0138-07		until end of April 120 AD	https://godot.date/id/5YFpgqcksRU2yVKqnVk2Dj	https://godot.date/id/TBoy3vynBxTSeZCZHAeta		
Antoninus Pius	https://www.wikidata.org/wiki/Q1429	cos. design.	2		0138-07		0139-01-01	TRUE		https://godot.date/id/s8ugxq4Lqmgde9miD3WxZ8			
Antoninus Pius	https://www.wikidata.org/wiki/Q1429	cos.	2		0139-01-01	0139-04	0139-08-18	TRUE	until end of April 139 AD	https://godot.date/id/uWssVKjSJ7azJHCFrdvkda	https://godot.date/id/NcQA6XndDLrEYPGLoDjm6L		
Antoninus Pius	https://www.wikidata.org/wiki/Q1429	cos. design.	3		0139-08-18	0139-08-23	0140-01-01			https://godot.date/id/UsbNkmqPPtnXzyrNnLzTc4			
Antoninus Pius	https://www.wikidata.org/wiki/Q1429	cos.	3		0140-01-01		0144			https://godot.date/id/AdmuDCrMRkp7nqaXiRhVFW	https://godot.date/id/yavT53C8ztWajgUStdLLLE		
Antoninus Pius	https://www.wikidata.org/wiki/Q1429	cos. design.	4		0144		0145-01-01	TRUE	autumn 144 AD	https://godot.date/id/eNXydLLh2ghSFi2Pj9oSr5			
Antoninus Pius	https://www.wikidata.org/wiki/Q1429	cos.	4		0145-01-01	0145-02	0161-03-07	TRUE	until end of February 145 AD	https://godot.date/id/3ro3jBBdpBDv3SP5wYyBh7	https://godot.date/id/uYwLjEFh3QNQ4wx9wtnBVP		
Marc Aurel	https://www.wikidata.org/wiki/Q1430	cos. design.	1		0139		0140			https://godot.date/id/chdGbBgyj7hKgTNJnu9Yy6			
Marc Aurel	https://www.wikidata.org/wiki/Q1430	cos.	1		0140		0144			https://godot.date/id/RNEGxyWZYGkUcFBVvEVnQk	https://godot.date/id/yavT53C8ztWajgUStdLLLE		
Marc Aurel	https://www.wikidata.org/wiki/Q1430	cos. design.	2		0144		0145			https://godot.date/id/9ajV4sx2wmRDbS4U3xh37G			
Marc Aurel	https://www.wikidata.org/wiki/Q1430	cos.	2		0145		0161-01-01			https://godot.date/id/b4UmgCnLXfGXDJEtarwgrU	https://godot.date/id/uYwLjEFh3QNQ4wx9wtnBVP		
Marc Aurel	https://www.wikidata.org/wiki/Q1430	cos.	3		0161-01-01	0161-01-31	0180-03-17	TRUE		https://godot.date/id/mZrWUhCYbB2onTyTQGaMRb	https://godot.date/id/n2ZnrkznqPYKxG2VV3qR6c		
L. Verus	https://www.wikidata.org/wiki/Q1433	cos.	1		0154		0161-01-01			https://godot.date/id/gnB9hsy2jmz6xEYEgdj6E6	https://godot.date/id/w42ZSRxBptgCukicD3GZ9J		
L. Verus	https://www.wikidata.org/wiki/Q1433	cos.	2		0161-01-01	0161-01-31	0167-01-01	TRUE		https://godot.date/id/pGnbZvBWgXwyk2H5hDea9k	https://godot.date/id/n2ZnrkznqPYKxG2VV3qR6c		
L. Verus	https://www.wikidata.org/wiki/Q1433	cos.	3		0167-01-01	0167-01-13	0169-02	TRUE		https://godot.date/id/5VFDbC2xXwMHTgSwEFWQVU	https://godot.date/id/Wb3i6NNkRLesxS45hotSrk		
Commodus	https://www.wikidata.org/wiki/Q1434	cos. design.	1		0176-11-27		0177			https://godot.date/id/cRJ9gFnVtEUXJjCxie2T6E			
Commodus	https://www.wikidata.org/wiki/Q1434	cos.	1		0177		0179			https://godot.date/id/QpK5UKyRrtwPBDYPY37pVG	https://godot.date/id/UvqztfWigPCLwPBLLEFL4L		
Commodus	https://www.wikidata.org/wiki/Q1434	cos.	2		0179		0181			https://godot.date/id/WjWpCrpYMsueE6EdMiWhkR	https://godot.date/id/K522LN8V432Azmguvpmau		
Commodus	https://www.wikidata.org/wiki/Q1434	cos.	3		0181		0183			https://godot.date/id/aEZMFhTdPCGCbXkPiGTEnW	https://godot.date/id/LQPmDFJZG9SYqqLiTbCJB6		
Commodus	https://www.wikidata.org/wiki/Q1434	cos.	4		0183		0186			https://godot.date/id/TfEggcMXChjDZXVdARNEUb	https://godot.date/id/7YM4g7o2YefzaDTJenh34U		
Commodus	https://www.wikidata.org/wiki/Q1434	cos.	5		0186		0190			https://godot.date/id/U7U3tsPgovoVUu9ndVcCjK	https://godot.date/id/CeAK2K53qqLh9tZrua5TpT		
Commodus	https://www.wikidata.org/wiki/Q1434	cos.	6		0190		0192			https://godot.date/id/Sjt4vFR7PpgQPFdjXLdgG6	https://godot.date/id/CaDynvy5YreiQMqJDgrabF		
Commodus	https://www.wikidata.org/wiki/Q1434	cos.	7		0192		0192-12-31			https://godot.date/id/hvpAP9XspDFCKAygpTkhpY	https://godot.date/id/zHhm98BLVpL4GN55oqJbmN		
Pertinax	https://www.wikidata.org/wiki/Q1436	cos. suff.	1		0175		0192			https://godot.date/id/q4kzgjxb5f2WgkVAGhvbpD	https://godot.date/id/JcM58GF5kXmmB9cMMdyWvn		
Pertinax	https://www.wikidata.org/wiki/Q1436	cos.	2		0192		0193-03-28			https://godot.date/id/hxFrcqLdrXRjypQ4rmffU7	https://godot.date/id/zHhm98BLVpL4GN55oqJbmN		
Didius Iulianus	https://www.wikidata.org/wiki/Q1436	cos. suff.	1		0175		0193-06-01	TRUE		https://godot.date/id/aqfx9pLAiK5NG2ik8uMmvn	https://godot.date/id/JcM58GF5kXmmB9cMMdyWvn		
Septimius Severus	https://www.wikidata.org/wiki/Q1442	cos. suff.	1		0190-05		0193	TRUE	maybe year 189 AD?	https://godot.date/id/EM6DHSqChuiGgLQpkhJWRc	https://godot.date/id/cbRsYQRdHvvtZnWBTwtKbk		
Septimius Severus	https://www.wikidata.org/wiki/Q1442	cos. design.	2		0193		0194			https://godot.date/id/w2etVg4Ws9krZeGWYJ4R3i			
Septimius Severus	https://www.wikidata.org/wiki/Q1442	cos.	2		0194		0202			https://godot.date/id/igxjWvyvUaeB46PEKXCY2K	https://godot.date/id/UFZPPMGmp9Uj9ASv5EPeKJ		
Septimius Severus	https://www.wikidata.org/wiki/Q1442	cos.	3		0202		0211-02-04			https://godot.date/id/DkJgy7RLCsjoeXzBVgi4of			
Caracalla	https://www.wikidata.org/wiki/Q1446	cos. design.	1		0201		0202			https://godot.date/id/DJ37dm2JeTnUCYEYJfPREK			
Caracalla	https://www.wikidata.org/wiki/Q1446	cos.	1		0202		0204			https://godot.date/id/ngB4xygoGbGXFBmTnkP6N4	https://godot.date/id/2J9wrKTM4E3nKu8VByRpeD		
Caracalla	https://www.wikidata.org/wiki/Q1446	cos. design.	2		0204		0205			https://godot.date/id/spAGJjAECpHJ7vE2jt6ZTi			
Caracalla	https://www.wikidata.org/wiki/Q1446	cos.	2		0205		0207			https://godot.date/id/8JDmTypbnejAJ8LYN8C5Zc	https://godot.date/id/sd5C7JRMXwCPUy3GSVzP29		
Caracalla	https://www.wikidata.org/wiki/Q1446	cos. design.	3		0207		0208			https://godot.date/id/pwj6KdAwyq3yqAFR8gV8pE			
Caracalla	https://www.wikidata.org/wiki/Q1446	cos.	3		0208		0212			https://godot.date/id/HuSHqq8gWPwgueZjZcnkNT	https://godot.date/id/6XhekYhqHU2VA8DAxPCefS		
Caracalla	https://www.wikidata.org/wiki/Q1446	cos. design.	4		0212		0213	TRUE	after August 30th 212 AD	https://godot.date/id/u3nxsUZvu3gxbzrg274qrG			
Caracalla	https://www.wikidata.org/wiki/Q1446	cos.	4		0213		0217-04-08			https://godot.date/id/ndyQybRiGWWqsHHYy9UAaX	https://godot.date/id/wVjtj6kix2ebBroU9xfd5E		
Geta	https://www.wikidata.org/wiki/Q183089	cos.	1		0205		0208			https://godot.date/id/EMDso3T9627wTbrtnYvDnQ	https://godot.date/id/sd5C7JRMXwCPUy3GSVzP29		
Geta	https://www.wikidata.org/wiki/Q183089	cos.	2		0208		0211-12-19			https://godot.date/id/Srw2qr7YN32EszvSHLvhSZ	https://godot.date/id/6XhekYhqHU2VA8DAxPCefS		
Macrinus	https://www.wikidata.org/wiki/Q1752	cos.	1		0217		0217-10			https://godot.date/id/tn33DEdMwegtQTMQNjst24			
Macrinus	https://www.wikidata.org/wiki/Q1752	cos. design.	2		0217-10	0217-12-31	0218	TRUE		https://godot.date/id/B4GyP4q2ZgoxoXtzwY6bKS			
Macrinus	https://www.wikidata.org/wiki/Q1752	cos.	2		0218		0218-06-08			https://godot.date/id/kFgUoKdZrtvphJeJk5z2bR	https://godot.date/id/Ens6tFUBV3FwHP5rD8AThN		
Elagabal	https://www.wikidata.org/wiki/Q1762	cos. suff.	1		0218-06		0219	TRUE	since mid June 218 AD	https://godot.date/id/i4H3VnNy2eznioYXdDAkNM	https://godot.date/id/W3Bg48ScPekTzT9CkQSv6J		
Elagabal	https://www.wikidata.org/wiki/Q1762	cos.	2		0219		0219			https://godot.date/id/MpijHpzE3qex3LpKbbVnGE	https://godot.date/id/Mmw7EDtGGsKpgYK3hTqpRh		
Elagabal	https://www.wikidata.org/wiki/Q1762	cos. design.	3		0219		0220			https://godot.date/id/Q9kM9SvxmYLTmTeG5KQ74d			
Elagabal	https://www.wikidata.org/wiki/Q1762	cos.	3		0220		0221-07-01			https://godot.date/id/XJsA4FHps9bYAfMmfd6DUe	https://godot.date/id/dMGZYw8DCaXojpxgojMCGf		
Elagabal	https://www.wikidata.org/wiki/Q1762	cos. design.	4		0221-07-01		0222	TRUE		https://godot.date/id/Kn4cAdGFXMJviCzQM5SfZ7			
Elagabal	https://www.wikidata.org/wiki/Q1762	cos.	4		0222		0222-03-11			https://godot.date/id/Xdr4UuZ5UyYhPqhBWZYF9R	https://godot.date/id/U62DGhosdePYWhWUm7hdQa		
Severus Alexander	https://www.wikidata.org/wiki/Q1769	cos. design.	1		0221-07-01		0222	TRUE		https://godot.date/id/YnhjfcpArEej6uudAisnUh			
Severus Alexander	https://www.wikidata.org/wiki/Q1769	cos.	1		0222		0225			https://godot.date/id/QDRavWLdCDkxiPBb4CmHmF	https://godot.date/id/U62DGhosdePYWhWUm7hdQa		
Severus Alexander	https://www.wikidata.org/wiki/Q1769	cos. design.	2		0225		0226			https://godot.date/id/T45rALqUTG7mjrzgqQEbVL			
Severus Alexander	https://www.wikidata.org/wiki/Q1769	cos.	2		0226		0226-07-01			https://godot.date/id/MPZPcKE9cPeAagoxHfHgSC	https://godot.date/id/3WwkhSvgzxUsnXbjJnmE6J		
Severus Alexander	https://www.wikidata.org/wiki/Q1769	cos. design.	3		0226-07-01		0229	TRUE		https://godot.date/id/2HjK6xwxxEavBmMrrPeMkE			
Severus Alexander	https://www.wikidata.org/wiki/Q1769	cos.	3		0229		0235-03			https://godot.date/id/zkooopnu8amaLAaFuEy6pD	https://godot.date/id/bX2wARK9SAfAaXXKLVnppX		
Maximinus Thrax	https://www.wikidata.org/wiki/Q1777	cos. design.	1		0235-03		0236	TRUE	since March 235 AD	https://godot.date/id/vWGWmQwNkRKdXJ8JFBFTxH			
Maximinus Thrax	https://www.wikidata.org/wiki/Q1777	cos.	1		0236		0238-04			https://godot.date/id/92urCCnNF8Rn7LpE7Zmd78	https://godot.date/id/4PzFLYa8hAExq9MHThXiVU		
Pupienus	https://www.wikidata.org/wiki/Q1797	cos. suff.	1		0205	0217	0234	TRUE	ca. 205 AD or 217 AD	https://godot.date/id/RuiXYAZNxcHzMUmZJqWdc9			
Pupienus	https://www.wikidata.org/wiki/Q1797	cos.	2		0234		0238-05			https://godot.date/id/DS6XHfCiak9u5zek3KACgT	https://godot.date/id/BHL78z25bRpbubi4t2ZN8b		
Balbinus	https://www.wikidata.org/wiki/Q1805	cos. suff.	1				0213	TRUE		https://godot.date/id/Mi5RhsHopvuWc6dLwYtnu2			
Balbinus	https://www.wikidata.org/wiki/Q1805	cos.	2		0213		0238-05			https://godot.date/id/4gZqBQsqgY8ijdGiTorjAf	https://godot.date/id/wVjtj6kix2ebBroU9xfd5E		
Gordian III	https://www.wikidata.org/wiki/Q1812	cos. design.	1		0238-05		0239	TRUE		https://godot.date/id/bpw9UJfDkr3odYQNAXRmP2			
Gordian III	https://www.wikidata.org/wiki/Q1812	cos.	1		0239		0240-07			https://godot.date/id/pfbqZGPmki6AgpPw7RMobU	https://godot.date/id/MqK5p58QNgyaTmvutxJdy6		
Gordian III	https://www.wikidata.org/wiki/Q1812	cos. design.	2		0240-07		0241			https://godot.date/id/3XnoKU89BTWAdKFd3EsRfG			
Gordian III	https://www.wikidata.org/wiki/Q1812	cos.	2		0241		0244			https://godot.date/id/t35kJf69GmqWyxpVjxoxs6	https://godot.date/id/rdKkXH7Rxr7qhonLTtbpKd		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	cos.	1		0245		0246			https://godot.date/id/4QgEjfK8pBBNDA6sRBvHw4	https://godot.date/id/hXjco7dJNfLS6kzkD9t9VU		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	cos. design.	2		0246		0247	TRUE	end of year 246 Ad	https://godot.date/id/9qjASjXZXKobCdcgQL3BkH			
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	cos.	2		0247		0247-07			https://godot.date/id/E5kGJbGZCgBYpBrab9Uqph	https://godot.date/id/cBw3K3nW5JtHm7nS9PdCQh		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	cos. design.	3		0247-07		0248			https://godot.date/id/F4ox4eh3tB8bBZzDUQdXEL			
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	cos.	3		0248		0249-07			https://godot.date/id/WV4zSTKgkGFNqhyYkPjFsL	https://godot.date/id/xhbnLbUmWXgqqX5t9CfmBa		
Philippus Arabs	https://www.wikidata.org/wiki/Q1817	cos. design.	4	TRUE	0249-07		0249-10	TRUE		https://godot.date/id/wDH6HnjLTRJ9TyrnKEiV96			
Decius	https://www.wikidata.org/wiki/Q1830	cos. suff.	1			0232	0249			https://godot.date/id/MFyZyStfzZZLzWeqmsyquJ			
Decius	https://www.wikidata.org/wiki/Q1830	cos. design.	2		0249		0250			https://godot.date/id/VQXW6L8WdMiPgd84gpxXNn			
Decius	https://www.wikidata.org/wiki/Q1830	cos.	2		0250		0250			https://godot.date/id/ZgCBf8crytRd3FvxGoZCDJ	https://godot.date/id/dFF47PwbPumjf4v8NionGN		
Decius	https://www.wikidata.org/wiki/Q1830	cos. design.	3		0250		0251			https://godot.date/id/zXYketLktzQsxFsj7LWdem			
Decius	https://www.wikidata.org/wiki/Q1830	cos.	3		0251		0251-06			https://godot.date/id/ff9zY3K45kVjygPXExjoz3	https://godot.date/id/Fj4bZS8RPrN4TLC5cioWjf		
Trebonianus Gallus	https://www.wikidata.org/wiki/Q171023	cos. suff.	1		0245		0251	TRUE	ca. 245 AD	https://godot.date/id/pjNtwtQ5AoAEhbJqsWLcjY			
Trebonianus Gallus	https://www.wikidata.org/wiki/Q171023	cos. design.	2		0251		0252	TRUE	since end of year	https://godot.date/id/yurgrCDXB5uWgd3wgDBcxj			
Trebonianus Gallus	https://www.wikidata.org/wiki/Q171023	cos.	2		0252		0253-08			https://godot.date/id/6Bq6VouvovScdDNuUpJizX	https://godot.date/id/9bk75UQ6d8MHgB6cwjrbja		
Aemilius Aemilianus	https://www.wikidata.org/wiki/Q177980	cos.	1			0253	0253-10	TRUE	before 252/3 AD	https://godot.date/id/3RLCX5Mbcc8JP2c7auuf6e			
Valerian	https://www.wikidata.org/wiki/Q46750	cos.	1			0238	0254	TRUE	before 238 AD	https://godot.date/id/SUobozASUFyX2vDSL9nGvA			
Valerian	https://www.wikidata.org/wiki/Q46750	cos.	2		0254		0255			https://godot.date/id/9JTnVQTpDHTd2hBpGUWgt3	https://godot.date/id/6JeKXhFysKxC7wuRdAcSMk		
Valerian	https://www.wikidata.org/wiki/Q46750	cos.	3		0255		0257			https://godot.date/id/zP7KjbXidpUie86xjKHhpY	https://godot.date/id/aH2ynT8RTLdPhAwFeAwYsY		
Valerian	https://www.wikidata.org/wiki/Q46750	cos.	4		0257		0260-06			https://godot.date/id/DuuPYg87UV2bj6vb2ThjmG	https://godot.date/id/tQhAQJTTLLUsULjXSm5Ttj		
Gallienus	https://www.wikidata.org/wiki/Q104475	cos.	1		0254		0255			https://godot.date/id/nQRUJoAQSnmeb3jSLqVsGK	https://godot.date/id/6JeKXhFysKxC7wuRdAcSMk		
Gallienus	https://www.wikidata.org/wiki/Q104475	cos.	2		0255		0257			https://godot.date/id/EMkh3jfyGEt9cWjBfwWEsh	https://godot.date/id/aH2ynT8RTLdPhAwFeAwYsY		
Gallienus	https://www.wikidata.org/wiki/Q104475	cos.	3		0257		0261			https://godot.date/id/5SqsyKVdave29X9hFZNCvD	https://godot.date/id/tQhAQJTTLLUsULjXSm5Ttj		
Gallienus	https://www.wikidata.org/wiki/Q104475	cos.	4		0261		0261-12			https://godot.date/id/EN6fw5JjGrRvmkyXmpouwg	https://godot.date/id/GauGGP3vCqB5m42NfNCLN5		
Gallienus	https://www.wikidata.org/wiki/Q104475	cos. design.	5		0261-12		0262	TRUE		https://godot.date/id/zQrJpwXyNyXAZexrMeLJV7			
Gallienus	https://www.wikidata.org/wiki/Q104475	cos.	5		0262		0264			https://godot.date/id/gQ2r6vHZwhPZYWHkAmTrgS	https://godot.date/id/H2UNpYtW5uij78zPzmJqzB		
Gallienus	https://www.wikidata.org/wiki/Q104475	cos.	6		0264		0265-12			https://godot.date/id/Xe4ircXzi9VijnLAbzgwkm	https://godot.date/id/9VeZBNaPTER6zQaQBvyYXG		
