kingship	not_before_label	not_after_label	not_before_iso	not_after_iso	wikidata_uri	godot_uri
Alexander III	14 November 332 BC	12 June 323 BC	-0332-09-14	-0323-06-12	https://www.wikidata.org/wiki/Q8409	https://godot.date/id/4nin7UsjHconYL2K3tJyNK
Philippus Arrhidaeus	12 June 323 BC	8 November 316 BC	-0323-06-12	-0316-11-08	https://www.wikidata.org/wiki/Q295530	https://godot.date/id/NYDNoQRRzkhvjnGwnJEncJ
Alexander IV	11 November 317 BC	5 February 304 BC	-0317-11-11	-0304-02-05	https://www.wikidata.org/wiki/Q207847	https://godot.date/id/dWbhPK4apoWVGWNHKVq2uJ
Ptolemaeus I	5 February 304 BC	30 October 282 BC	-0304-02-05	-0282-10-30	https://www.wikidata.org/wiki/Q168261	https://godot.date/id/wzHUK4ojg3Z62Woe2VsyN3
Ptolemaeus II	2 November 285 BC	22 February 246 BC	-0285-11-02	-0246-02-22	https://www.wikidata.org/wiki/Q39576	https://godot.date/id/F8bkPNFK96CacrRDtrzdh9
Ptolemaeus III	22 February 246 BC	2 November 222 BC	-0246-02-22	-0222-11-02	https://www.wikidata.org/wiki/Q39602	https://godot.date/id/7QwmApAuBWFVzswJsr8HMP
Ptolemaeus IV	2 November 222 BC	23 July 204 BC	-0222-11-02	-0204-07-23	https://www.wikidata.org/wiki/Q39595	https://godot.date/id/9u42jLhANPcW7dkKUrReFb
Harronnopris	23 July 204 BC	11 October 199 BC	-0204-07-23	-0199-10-11	https://www.wikidata.org/wiki/Q878952	https://godot.date/id/sZH9Nc9EZ8YbvigM7argQd
Ptolemaeus V	23 July 204 BC	3 September 180 BC	-0204-07-23	-0180-09-03	https://www.wikidata.org/wiki/Q39957	https://godot.date/id/KZL7DcXbPeLu4p8fd4ezpc
Chaonnophris	12 October 199 BC	9 October 191 BC	-0199-10-12	-0191-10-09	https://www.wikidata.org/wiki/Q489289	https://godot.date/id/gwWGJZbYLp5ens92Armyja
Ptolemaeus VI	3 September 180 BC	22 September 145 BC	-0180-09-03	-0145-09-22	https://www.wikidata.org/wiki/Q39952	https://godot.date/id/qt4uHfkPNMGQprmDmqx6E4
Ptolemaeus VIII	19 May 169 BC	29 June 116 BC	-0169-05-19	-0116-06-29	https://www.wikidata.org/wiki/Q3350	https://godot.date/id/WUsrGNkdeJ4z9piJVwtmrW
Cleopatra II	25 September 131 BC	23 September 129 BC	-0131-09-25	-0129-09-23	https://www.wikidata.org/wiki/Q40247	https://godot.date/id/6nekUmJrjysGMFbF5fDGBg
Harsiesis	25 September 131 BC	23 September 129 BC	-0131-09-25	-0129-09-23	https://www.wikidata.org/wiki/Q655511	https://godot.date/id/vzcNFdbPaydCpBqHAC42vK
Cleopatra III	29 June 116 BC	16 September 99 BC	-0116-06-29	-0099-09-16	https://www.wikidata.org/wiki/Q40003	https://godot.date/id/oUGUf2BvvmZLVJYgFi2oCk
Ptolemaeus IX	29 June 116 BC	11 April 80 BC	-0116-06-29	-0080-04-11	https://www.wikidata.org/wiki/Q3340	https://godot.date/id/n8kWa7bo5ejbKjxAbNteiA
Ptolemaeus X	24 October 107 BC	13 September 87 BC	-0107-10-24	-0087-09-13	https://www.wikidata.org/wiki/Q3345	https://godot.date/id/hZpNMoXuLuCCvsHnDmdGig
Cleopatra Berenice III	9 July 81 BC	11 April 80 BC	-0081-07-09	-0080-04-11	https://www.wikidata.org/wiki/Q231688	https://godot.date/id/f3bWB7u75FAKA3YdWKQb9h
Ptolemaeus XI	11 April 80 BC	11 September 80 BC	-0080-04-11	-0080-09-11	https://www.wikidata.org/wiki/Q39996	https://godot.date/id/Yaw2c9opEHJdfZvcb9anzG
Ptolemaeus XII	11 April 80 BC	23 February 51 BC	-0080-04-11	-0051-02-23	https://www.wikidata.org/wiki/Q39991	https://godot.date/id/iKyvom5pwow7tGHeK7RMd4
Berenice IV	18 May 58 BC	5 September 55 BC	-0058-05-18	-0055-09-05	https://www.wikidata.org/wiki/Q40022	https://godot.date/id/7PefVLd2DqNyCUsGGgJqF5
Cleopatra VII	23 February 51 BC	28 August 29 BC	-0051-02-23	-0029-08-28	https://www.wikidata.org/wiki/Q635	https://godot.date/id/upmwBTZuEw4hZcdTcy2r5P
Ptolemaeus XIII	23 February 51 BC	13 January 47 BC	-0051-02-23	-0047-01-13	https://www.wikidata.org/wiki/Q39938	https://godot.date/id/fFqgAvJrBwZDNeEEQ7xViL