emperor_label	wikidata_uri	year	not_before	not_after	godot_uri
Augustus	https://www.wikidata.org/wiki/Q1405	1	-30	-29	https://godot.date/id/JFMrvEQx9nEeyKnWnumjU7
Augustus	https://www.wikidata.org/wiki/Q1405	2	-29	-28	https://godot.date/id/DeiFQszMQom3xGmt5KW8NC
Augustus	https://www.wikidata.org/wiki/Q1405	3	-28	-27	https://godot.date/id/4zaFVxYiWkWszVxLJKjfoP
Augustus	https://www.wikidata.org/wiki/Q1405	4	-27	-26	https://godot.date/id/cGmVq6NthYQEdeQTxUrJ7P
Augustus	https://www.wikidata.org/wiki/Q1405	5	-26	-25	https://godot.date/id/vvLmxghz8TD8xksDLak2NT
Augustus	https://www.wikidata.org/wiki/Q1405	6	-25	-24	https://godot.date/id/ybESfLe7csCeuDshvmtVRY
Augustus	https://www.wikidata.org/wiki/Q1405	7	-24	-23	https://godot.date/id/Z6bpJWmQdkVuWr5e9HqzJh
Augustus	https://www.wikidata.org/wiki/Q1405	8	-23	-22	https://godot.date/id/Eq6oXH7EwrQHhBrGCSsVgT
Augustus	https://www.wikidata.org/wiki/Q1405	9	-22	-21	https://godot.date/id/3vo6vHUyvEqY3ns9BZNUFc
Augustus	https://www.wikidata.org/wiki/Q1405	10	-21	-20	https://godot.date/id/vpMbksW2jvszo3iQJgS5MZ
Augustus	https://www.wikidata.org/wiki/Q1405	11	-20	-19	https://godot.date/id/UVBjUKpxR3eu7cxxk9ieiS
Augustus	https://www.wikidata.org/wiki/Q1405	12	-19	-18	https://godot.date/id/kMsZ9LWizxtmeszhQUAELh
Augustus	https://www.wikidata.org/wiki/Q1405	13	-18	-17	https://godot.date/id/eNc3DjvujmSZjjotxs2r6c
Augustus	https://www.wikidata.org/wiki/Q1405	14	-17	-16	https://godot.date/id/nSu935uxsqg7w6ChE6zNxY
Augustus	https://www.wikidata.org/wiki/Q1405	15	-16	-15	https://godot.date/id/6XjNDBaS92PtEb8mhn82dD
Augustus	https://www.wikidata.org/wiki/Q1405	16	-15	-14	https://godot.date/id/iQe2FDKuytkxkRuDNvRq5n
Augustus	https://www.wikidata.org/wiki/Q1405	17	-14	-13	https://godot.date/id/gjtXGHwshjFLtAyrFjj2u7
Augustus	https://www.wikidata.org/wiki/Q1405	18	-13	-12	https://godot.date/id/yNHHcuEaPK9DS4Va4JoAoP
Augustus	https://www.wikidata.org/wiki/Q1405	19	-12	-11	https://godot.date/id/ZP5ea4XBuWowsF4u6Bexrg
Augustus	https://www.wikidata.org/wiki/Q1405	20	-11	-10	https://godot.date/id/8jWg6TgaJEemn6Fe46hF8U
Augustus	https://www.wikidata.org/wiki/Q1405	21	-10	-9	https://godot.date/id/ubq5tKyUEw6HcaQnVp9Rhm
Augustus	https://www.wikidata.org/wiki/Q1405	22	-9	-8	https://godot.date/id/zBj5EujHVvzycoBfiC4oR5
Augustus	https://www.wikidata.org/wiki/Q1405	23	-8	-7	https://godot.date/id/xJf6xpVdqgEJL74WpRGTUF
Augustus	https://www.wikidata.org/wiki/Q1405	24	-7	-6	https://godot.date/id/FCgVrohn464AWB8rsyaLif
Augustus	https://www.wikidata.org/wiki/Q1405	25	-6	-5	https://godot.date/id/fggvgCTEYeUXNMmHKrmVsj
Augustus	https://www.wikidata.org/wiki/Q1405	26	-5	-4	https://godot.date/id/tNPSWoy5XNpHUDua3Nrg6H
Augustus	https://www.wikidata.org/wiki/Q1405	27	-4	-3	https://godot.date/id/vGC8wkRTdV53dvNJzDi8wX
Augustus	https://www.wikidata.org/wiki/Q1405	28	-3	-2	https://godot.date/id/i6FsLJFrjBKWvpMTyRzmPA
Augustus	https://www.wikidata.org/wiki/Q1405	29	-2	-1	https://godot.date/id/2ecpm6WLfRXqGuHGQr9cUR
Augustus	https://www.wikidata.org/wiki/Q1405	30	-1	1	https://godot.date/id/kTJfr6G7DKPNGURY2qbtfk
Augustus	https://www.wikidata.org/wiki/Q1405	31	1	2	https://godot.date/id/czfub3RTcaZEfupfTw6qym
Augustus	https://www.wikidata.org/wiki/Q1405	32	2	3	https://godot.date/id/MUKrwiuYcdfpwqh985kz5F
Augustus	https://www.wikidata.org/wiki/Q1405	33	3	4	https://godot.date/id/5VgnEXj8QobiE6B9wKSTWL
Augustus	https://www.wikidata.org/wiki/Q1405	34	4	5	https://godot.date/id/i5Zw27go8pjKHXtwxf8zMQ
Augustus	https://www.wikidata.org/wiki/Q1405	35	5	6	https://godot.date/id/Xb9ykEgoH4kxxmYYBLxme8
Augustus	https://www.wikidata.org/wiki/Q1405	36	6	7	https://godot.date/id/YcTsoTpxyvNywvvbfNUShN
Augustus	https://www.wikidata.org/wiki/Q1405	37	7	8	https://godot.date/id/YibLTWzuxVrutdFBLjWEKi
Augustus	https://www.wikidata.org/wiki/Q1405	38	8	9	https://godot.date/id/dDCY3dT2rb72Qs9aSsQQZA
Augustus	https://www.wikidata.org/wiki/Q1405	39	9	10	https://godot.date/id/6EbuFnvbEkT4bgCZrfgqr9
Augustus	https://www.wikidata.org/wiki/Q1405	40	10	11	https://godot.date/id/f8mVzB5aQNoVeQHfENZzM3
Augustus	https://www.wikidata.org/wiki/Q1405	41	11	12	https://godot.date/id/MemHSUpzrErNujT9gScmtK
Augustus	https://www.wikidata.org/wiki/Q1405	42	12	13	https://godot.date/id/an5R2DqxomG8Z4tmntZRUa
Augustus	https://www.wikidata.org/wiki/Q1405	43	13	14	https://godot.date/id/9hZMR8P5gpcT5YKKaggRNh
Tiberius	https://www.wikidata.org/wiki/Q1407	1	14	15	https://godot.date/id/3CZjmemmRghqgKBz8XcuXY
Tiberius	https://www.wikidata.org/wiki/Q1407	2	15	16	https://godot.date/id/TmqV5mtTtReQccDNL2UmtE
Tiberius	https://www.wikidata.org/wiki/Q1407	3	16	17	https://godot.date/id/pB9qqqchGd5pwKK8gR29zL
Tiberius	https://www.wikidata.org/wiki/Q1407	4	17	18	https://godot.date/id/bNWqFRKubftMsEMwtyLk5b
Tiberius	https://www.wikidata.org/wiki/Q1407	5	18	19	https://godot.date/id/QmidqE85R9THPTcktz52Fk
Tiberius	https://www.wikidata.org/wiki/Q1407	6	19	20	https://godot.date/id/GjEYPsxAXWnePGx5rJvE57
Tiberius	https://www.wikidata.org/wiki/Q1407	7	20	21	https://godot.date/id/5ZCzEz8EFHV2Pnbrm8GTNR
Tiberius	https://www.wikidata.org/wiki/Q1407	8	21	22	https://godot.date/id/pCh3SUfJKbT9YpQRa8AiXL
Tiberius	https://www.wikidata.org/wiki/Q1407	9	22	23	https://godot.date/id/GW2PoeBQWNwyHdrGXQkDug
Tiberius	https://www.wikidata.org/wiki/Q1407	10	23	24	https://godot.date/id/jXviFEHWZ6gDyPFbGzmdF7
Tiberius	https://www.wikidata.org/wiki/Q1407	11	24	25	https://godot.date/id/rW6yYECkdQKcGk6MRZxT58
Tiberius	https://www.wikidata.org/wiki/Q1407	12	25	26	https://godot.date/id/WhaYV4ayRjxhyYy9eBJ35T
Tiberius	https://www.wikidata.org/wiki/Q1407	13	26	27	https://godot.date/id/jXvFQZWoipDCjd5KHjLxTU
Tiberius	https://www.wikidata.org/wiki/Q1407	14	27	28	https://godot.date/id/mhhXP4dSrFqYvan8QFLN2B
Tiberius	https://www.wikidata.org/wiki/Q1407	15	28	29	https://godot.date/id/G3aT9PfYBHC2G8krazCBXg
Tiberius	https://www.wikidata.org/wiki/Q1407	16	29	30	https://godot.date/id/gSp4Lavv53pXZiT39usNCY
Tiberius	https://www.wikidata.org/wiki/Q1407	17	30	31	https://godot.date/id/EFDXDfpQEizGwjqLbwh2rK
Tiberius	https://www.wikidata.org/wiki/Q1407	18	31	32	https://godot.date/id/xsHH42Pmg8DBTjeDFPeGtL
Tiberius	https://www.wikidata.org/wiki/Q1407	19	32	33	https://godot.date/id/myAAGckgrcMvnNhxHcPJvP
Tiberius	https://www.wikidata.org/wiki/Q1407	20	33	34	https://godot.date/id/McjrFhSGQbDcNWYJ4dWpkm
Tiberius	https://www.wikidata.org/wiki/Q1407	21	34	35	https://godot.date/id/uwTjEbD4Labfm2EWw48W5h
Tiberius	https://www.wikidata.org/wiki/Q1407	22	35	36	https://godot.date/id/ZKybq5Zir3FZHxrDR5Lsud
Tiberius	https://www.wikidata.org/wiki/Q1407	23	36	37	https://godot.date/id/yNHSsBvqmZZURuj32by9W5
Caligula	http://www.wikidata.org/entity/Q1409	1	37	37	https://godot.date/id/c6qhRN82T2G43bBJhCRkMA
Caligula	http://www.wikidata.org/entity/Q1409	2	37	38	https://godot.date/id/9u2wZNNzSnPvuBSmFLoe3e
Caligula	http://www.wikidata.org/entity/Q1409	3	38	39	https://godot.date/id/B3YLAmBFsroqXPK5JvHrTK
Caligula	http://www.wikidata.org/entity/Q1409	4	39	40	https://godot.date/id/w7y6tBNHt3jeeFAnaBLxzn
Caligula	http://www.wikidata.org/entity/Q1409	5	40	41	https://godot.date/id/mM8GX5tRx8bKqtdZRa6GDV
Claudius	http://www.wikidata.org/entity/Q1411	1	41	41	https://godot.date/id/ztJwVWgf6NYtoKMQCakxw6
Claudius	http://www.wikidata.org/entity/Q1411	2	41	42	https://godot.date/id/Q7d27akTAUgaUdAGShoDj5
Claudius	http://www.wikidata.org/entity/Q1411	3	42	43	https://godot.date/id/QXTrcrBHe8DtapEGooU3AN
Claudius	http://www.wikidata.org/entity/Q1411	4	43	44	https://godot.date/id/Vch3MrXApohfv7MEvwRpjE
Claudius	http://www.wikidata.org/entity/Q1411	5	44	45	https://godot.date/id/9PxQ4tqEfd6UgSbMTpmzAh
Claudius	http://www.wikidata.org/entity/Q1411	6	45	46	https://godot.date/id/SnL6HJLfUFUHcJB7zjZQEP
Claudius	http://www.wikidata.org/entity/Q1411	7	46	47	https://godot.date/id/Uy9tV3u7SJMBvE2nWpwjvS
Claudius	http://www.wikidata.org/entity/Q1411	8	47	48	https://godot.date/id/XB59ReVFta6VXHFE7f9Da8
Claudius	http://www.wikidata.org/entity/Q1411	9	48	49	https://godot.date/id/yUyxPJUsDa5q49S4TgsBGb
Claudius	http://www.wikidata.org/entity/Q1411	10	49	50	https://godot.date/id/gKJKjDMbeTVEDmbVqj7wuH
Claudius	http://www.wikidata.org/entity/Q1411	11	50	51	https://godot.date/id/4zNw8HkQwY9EJVx7WF54i6
Claudius	http://www.wikidata.org/entity/Q1411	12	51	52	https://godot.date/id/vCpkVrPwRCLYvjQpCcWcbk
Claudius	http://www.wikidata.org/entity/Q1411	13	52	53	https://godot.date/id/XnuNN9Bf5g3UGep3n86hR4
Claudius	http://www.wikidata.org/entity/Q1411	14	53	54	https://godot.date/id/4o5m4vKv96NpHxbRYaVstW
Claudius	http://www.wikidata.org/entity/Q1411	15	54	54	https://godot.date/id/rPb8nAt73DPXmdToenjHWL
Nero	http://www.wikidata.org/entity/Q1413	1	54	55	https://godot.date/id/TTMQGZPooWpa6k7E5biS4K
Nero	http://www.wikidata.org/entity/Q1413	2	55	56	https://godot.date/id/SiPF7GhW6xvNwpuzZwHnPh
Nero	http://www.wikidata.org/entity/Q1413	3	56	57	https://godot.date/id/Lv8AKShfUSoHsNsLir8hXX
Nero	http://www.wikidata.org/entity/Q1413	4	57	58	https://godot.date/id/uAsyau9cEwKnLv5nqVF9iE
Nero	http://www.wikidata.org/entity/Q1413	5	58	59	https://godot.date/id/ZrGhMofj9J7wYRdKDVb4gQ
Nero	http://www.wikidata.org/entity/Q1413	6	59	60	https://godot.date/id/FAzZad3ZemJuLx9sWVfVmc
Nero	http://www.wikidata.org/entity/Q1413	7	60	61	https://godot.date/id/my3iABhkhYY8qFgfPReczM
Nero	http://www.wikidata.org/entity/Q1413	8	61	62	https://godot.date/id/T7SvAb2E7Z3TNLg7kJcBpT
Nero	http://www.wikidata.org/entity/Q1413	9	62	63	https://godot.date/id/JrGBms2qzSyJFFiXm9BkHj
Nero	http://www.wikidata.org/entity/Q1413	10	63	64	https://godot.date/id/6utcUzeVGfJh4zuhxHfrXb
Nero	http://www.wikidata.org/entity/Q1413	11	64	65	https://godot.date/id/cLLBFogahiadqn2tjQJKca
Nero	http://www.wikidata.org/entity/Q1413	12	65	66	https://godot.date/id/9sfcXW6dn4CV4SuaZTVE7c
Nero	http://www.wikidata.org/entity/Q1413	13	66	67	https://godot.date/id/iMuF2J3n55PZ77z9ToVgnA
Nero	http://www.wikidata.org/entity/Q1413	14	67	68	https://godot.date/id/GhZicvdp7vf5m4RTHbepac
Galba	http://www.wikidata.org/entity/Q1414	1	68	68	https://godot.date/id/rXG7GvrrXypsANuqFyGLx8
Galba	http://www.wikidata.org/entity/Q1414	2	68	69	https://godot.date/id/TGHgskP3oVyES5sbkr5ATo
Otho	http://www.wikidata.org/entity/Q1416	1	69	69	https://godot.date/id/UUZVSaMV5a9untwdNqqPZb
Vitellius	http://www.wikidata.org/entity/Q1417	1	69	69	https://godot.date/id/BPx9Us6KZqwWWbJsyn7XuB
Vitellius	http://www.wikidata.org/entity/Q1417	2	69	69	https://godot.date/id/RCoUUJ3mYg6gbuKs9ZQ5jA
Vespasian	http://www.wikidata.org/entity/Q1419	1	69	69	https://godot.date/id/QXoTRFF78TbQyBAT5upCHo
Vespasian	http://www.wikidata.org/entity/Q1419	2	69	70	https://godot.date/id/bFE9R89HBQ8bXsVMAGyyed
Vespasian	http://www.wikidata.org/entity/Q1419	3	70	71	https://godot.date/id/DfsXa7wTtA88LBLfNjiwqK
Vespasian	http://www.wikidata.org/entity/Q1419	4	71	72	https://godot.date/id/GQSh9kAYo7PiRjV2hS9LrK
Vespasian	http://www.wikidata.org/entity/Q1419	5	72	73	https://godot.date/id/JyeuNuDqojYAHYM5P3vV5Z
Vespasian	http://www.wikidata.org/entity/Q1419	6	73	74	https://godot.date/id/oYhXSBnGrsxWBU65iDjK3B
Vespasian	http://www.wikidata.org/entity/Q1419	7	74	75	https://godot.date/id/tRnNVhEYLDQBYnqE5J6Z6H
Vespasian	http://www.wikidata.org/entity/Q1419	8	75	76	https://godot.date/id/BNVE4ovPzbtqRAUA2npaQb
Vespasian	http://www.wikidata.org/entity/Q1419	9	76	77	https://godot.date/id/TKfLDNHXeKRMY2WBJbX9Lb
Vespasian	http://www.wikidata.org/entity/Q1419	10	77	78	https://godot.date/id/es6itKtYTeEpGMimPb5fo7
Vespasian	http://www.wikidata.org/entity/Q1419	11	78	79	https://godot.date/id/cym8vxRuQbUcPzDamTvuCJ
Titus	http://www.wikidata.org/entity/Q1421	1	79	79	https://godot.date/id/QLnzuuzsBJzYsVJmR2qc2C
Titus	http://www.wikidata.org/entity/Q1421	2	79	80	https://godot.date/id/H9UPi4sZgexNbBdm54nWp8
Titus	http://www.wikidata.org/entity/Q1421	3	80	81	https://godot.date/id/UkwjMMzWKheQLnAPrdixYP
Titus	http://www.wikidata.org/entity/Q1421	4	81	81	https://godot.date/id/yDDcx73jogZkzNvnsqMxVJ
Domitian	http://www.wikidata.org/entity/Q1423	1	81	82	https://godot.date/id/HuFEWss5xHDhPhPyEeRzQf
Domitian	http://www.wikidata.org/entity/Q1423	2	82	83	https://godot.date/id/X5VxPhfFpaTnahDE8oJUd6
Domitian	http://www.wikidata.org/entity/Q1423	3	83	84	https://godot.date/id/8W9DWEoK6n2rdX8gjHiaRW
Domitian	http://www.wikidata.org/entity/Q1423	4	84	85	https://godot.date/id/2eGYGLz2SMj7cXK27oNSNn
Domitian	http://www.wikidata.org/entity/Q1423	5	85	86	https://godot.date/id/PGJYq4iaK2dyG88PkKs6xb
Domitian	http://www.wikidata.org/entity/Q1423	6	86	87	https://godot.date/id/DzcRHfbxudjDfmEQG7hEuR
Domitian	http://www.wikidata.org/entity/Q1423	7	87	88	https://godot.date/id/KQKEMDkbhDS5SBZmV5dDgZ
Domitian	http://www.wikidata.org/entity/Q1423	8	88	89	https://godot.date/id/6DQUEwFVWY2wxr8FygY9B3
Domitian	http://www.wikidata.org/entity/Q1423	9	89	90	https://godot.date/id/3wRYQU4ojx8NJbe4oDBhKK
Domitian	http://www.wikidata.org/entity/Q1423	10	90	91	https://godot.date/id/fRGLRQMyRQJPUXcDB3vfZA
Domitian	http://www.wikidata.org/entity/Q1423	11	91	92	https://godot.date/id/YvJH8qjbf3sH8tyb7zrhyi
Domitian	http://www.wikidata.org/entity/Q1423	12	92	93	https://godot.date/id/w4YJCSTXCcFoNQbmbbTmik
Domitian	http://www.wikidata.org/entity/Q1423	13	93	94	https://godot.date/id/6heqX3yFRWL7GCQCc74SC5
Domitian	http://www.wikidata.org/entity/Q1423	14	94	95	https://godot.date/id/sFjBTrYqCVwqv6bGHuMbHD
Domitian	http://www.wikidata.org/entity/Q1423	15	95	96	https://godot.date/id/iJS58WC526ji8GVWkaU6K7
Domitian	http://www.wikidata.org/entity/Q1423	16	96	96	https://godot.date/id/PApBcix2gCHKsyNQ3VU57e
Nerva	http://www.wikidata.org/entity/Q1424	1	96	97	https://godot.date/id/3CcUKygBkvfTxNtTuc4MYQ
Nerva	http://www.wikidata.org/entity/Q1424	2	97	98	https://godot.date/id/QEJMSwpg8ADAAvQJpMkAKh
Trajan	http://www.wikidata.org/entity/Q1425	1	98	98	https://godot.date/id/RAmHHqXTFbJvyxvwbab7v8
Trajan	http://www.wikidata.org/entity/Q1425	2	98	99	https://godot.date/id/vx2cc5oyGo7r3cGWoBJwSW
Trajan	http://www.wikidata.org/entity/Q1425	3	99	100	https://godot.date/id/FHGLZpeGrncqNkCcm3SXKQ
Trajan	http://www.wikidata.org/entity/Q1425	4	100	101	https://godot.date/id/YRQRgGLaavYXxuHtuLZPtG
Trajan	http://www.wikidata.org/entity/Q1425	5	101	102	https://godot.date/id/7aLvi4Xn9QbhdTJFYu5Sdm
Trajan	http://www.wikidata.org/entity/Q1425	6	102	103	https://godot.date/id/P9zkF6cwpXCQyVnbCfZXhF
Trajan	http://www.wikidata.org/entity/Q1425	7	103	104	https://godot.date/id/u3fQYKUxLDY3oRs57jqead
Trajan	http://www.wikidata.org/entity/Q1425	8	104	105	https://godot.date/id/6UWFJVzpf2hTjdJ37aJvH8
Trajan	http://www.wikidata.org/entity/Q1425	9	105	106	https://godot.date/id/j4wVuxKiEDoKtGf3Z3wu2V
Trajan	http://www.wikidata.org/entity/Q1425	10	106	107	https://godot.date/id/WWhexyw5hhr8ZZun3JzXHE
Trajan	http://www.wikidata.org/entity/Q1425	11	107	108	https://godot.date/id/hVMow6CuJTTBGCCsUm3eCV
Trajan	http://www.wikidata.org/entity/Q1425	12	108	109	https://godot.date/id/72RuvsnVsGCJbxrGzeerGh
Trajan	http://www.wikidata.org/entity/Q1425	13	109	110	https://godot.date/id/HuhEKJd8jU3YqdPZ2NPSdK
Trajan	http://www.wikidata.org/entity/Q1425	14	110	111	https://godot.date/id/2r9jjYu34QtEFJLCSgr7U9
Trajan	http://www.wikidata.org/entity/Q1425	15	111	112	https://godot.date/id/UohvNoFKvab2jCogQzwCrg
Trajan	http://www.wikidata.org/entity/Q1425	16	112	113	https://godot.date/id/cPdbBX2mbWZJccJX55cYeE
Trajan	http://www.wikidata.org/entity/Q1425	17	113	114	https://godot.date/id/bWYErmmYtARpvB7joSfqQS
Trajan	http://www.wikidata.org/entity/Q1425	18	114	115	https://godot.date/id/pzpsUQPnAXJi5Z6WFaQurg
Trajan	http://www.wikidata.org/entity/Q1425	19	115	116	https://godot.date/id/Kp9KfXg7vkGmrkiiXiGgDj
Trajan	http://www.wikidata.org/entity/Q1425	20	116	117	https://godot.date/id/PYgQe5hsxEJ55JCsQywgiD
Hadrian	http://www.wikidata.org/entity/Q1427	1	117	117	https://godot.date/id/wVRBErfVjYasziXmwts6uP
Hadrian	http://www.wikidata.org/entity/Q1427	2	117	118	https://godot.date/id/SBV8RNTPzvd8ezmc4A4WJ5
Hadrian	http://www.wikidata.org/entity/Q1427	3	118	119	https://godot.date/id/TtT8FWJxgdxnXoqqk9fBGS
Hadrian	http://www.wikidata.org/entity/Q1427	4	119	120	https://godot.date/id/EKnYChjpwrAuyfmLPZimAi
Hadrian	http://www.wikidata.org/entity/Q1427	5	120	121	https://godot.date/id/cBGppCvHu4hb3Kc3qrzVXB
Hadrian	http://www.wikidata.org/entity/Q1427	6	121	122	https://godot.date/id/FMpesxnsHZg6akSpHjZ9iG
Hadrian	http://www.wikidata.org/entity/Q1427	7	122	123	https://godot.date/id/7SkKzfKjVp8Dmteur9UnJg
Hadrian	http://www.wikidata.org/entity/Q1427	8	123	124	https://godot.date/id/sJawA6mzovE7amfRuHJUvG
Hadrian	http://www.wikidata.org/entity/Q1427	9	124	125	https://godot.date/id/MmtL48ocEJXgFAo78cnPuC
Hadrian	http://www.wikidata.org/entity/Q1427	10	125	126	https://godot.date/id/rYNLVsqj7TLNSjmCbtNmXd
Hadrian	http://www.wikidata.org/entity/Q1427	11	126	127	https://godot.date/id/2sq45Jo6NikEoUDUNCtX2Q
Hadrian	http://www.wikidata.org/entity/Q1427	12	127	128	https://godot.date/id/WmwBibVGUKMLQtkEFnJhLZ
Hadrian	http://www.wikidata.org/entity/Q1427	13	128	129	https://godot.date/id/qHfTMTKjMZaJX8SK56vAuc
Hadrian	http://www.wikidata.org/entity/Q1427	14	129	130	https://godot.date/id/43mGnz9L9cawuxR42MGYvY
Hadrian	http://www.wikidata.org/entity/Q1427	15	130	131	https://godot.date/id/nSAdn2zJUhF2MRXWjJEiQN
Hadrian	http://www.wikidata.org/entity/Q1427	16	131	132	https://godot.date/id/vuv9pZMcJDsEhDNN6ts5N5
Hadrian	http://www.wikidata.org/entity/Q1427	17	132	133	https://godot.date/id/xC2qmfWh3vNSrKD2jBowpZ
Hadrian	http://www.wikidata.org/entity/Q1427	18	133	134	https://godot.date/id/nz8dXXD3iZ5bRE4xmP6T7Y
Hadrian	http://www.wikidata.org/entity/Q1427	19	134	135	https://godot.date/id/EnF6QfK9swAxid5yncViSS
Hadrian	http://www.wikidata.org/entity/Q1427	20	135	136	https://godot.date/id/NTJFHpBGu2pXFu8xgPq6Xi
Hadrian	http://www.wikidata.org/entity/Q1427	21	136	137	https://godot.date/id/VfSwDBxbpPFKgB2qRyckNY
Hadrian	http://www.wikidata.org/entity/Q1427	22	137	138	https://godot.date/id/jWMWYDZ46cmugyaZafvoW7
Antoninus Pius	http://www.wikidata.org/entity/Q1429	1	138	138	https://godot.date/id/vcg7uuJPDQ2RBLQ6mb65Jj
Antoninus Pius	http://www.wikidata.org/entity/Q1429	2	138	139	https://godot.date/id/DkCH5oy7roFaDQPdWbmhBM
Antoninus Pius	http://www.wikidata.org/entity/Q1429	3	139	140	https://godot.date/id/wYcP95Wzdj2WtbxFnqsta6
Antoninus Pius	http://www.wikidata.org/entity/Q1429	4	140	141	https://godot.date/id/mGdcjdA8SnjqCjMx4mdLTj
Antoninus Pius	http://www.wikidata.org/entity/Q1429	5	141	142	https://godot.date/id/Pb2j9CHf3b7RuM6fZYpCD8
Antoninus Pius	http://www.wikidata.org/entity/Q1429	6	142	143	https://godot.date/id/45rCuc6Ahfprv4cmGNgk3Z
Antoninus Pius	http://www.wikidata.org/entity/Q1429	7	143	144	https://godot.date/id/4QRd3LJTtrQQngB9QqkXaj
Antoninus Pius	http://www.wikidata.org/entity/Q1429	8	144	145	https://godot.date/id/X5QFzEUs2iLKVbJd6oezGm
Antoninus Pius	http://www.wikidata.org/entity/Q1429	9	145	146	https://godot.date/id/mi53CUuuw8BAhHBPQ9fiRK
Antoninus Pius	http://www.wikidata.org/entity/Q1429	10	146	147	https://godot.date/id/jqYAHDXbRG5gEjZgZ5G4HP
Antoninus Pius	http://www.wikidata.org/entity/Q1429	11	147	148	https://godot.date/id/Hsj3zhgLBsiSpSmphXYxEF
Antoninus Pius	http://www.wikidata.org/entity/Q1429	12	148	149	https://godot.date/id/q9d2UfUcnzNvzeAA3YzSbb
Antoninus Pius	http://www.wikidata.org/entity/Q1429	13	149	150	https://godot.date/id/SVh2S5VNiQ3AtwdesNgbWW
Antoninus Pius	http://www.wikidata.org/entity/Q1429	14	150	151	https://godot.date/id/mmA7ffSht4wY77xnqfednW
Antoninus Pius	http://www.wikidata.org/entity/Q1429	15	151	152	https://godot.date/id/r4U7YkGxSAfm36YGMiVS8G
Antoninus Pius	http://www.wikidata.org/entity/Q1429	16	152	153	https://godot.date/id/Pb9nhBw4KVT8Aoe7gSNqHB
Antoninus Pius	http://www.wikidata.org/entity/Q1429	17	153	154	https://godot.date/id/mqE6MkHQUvz3cmSyuxjds6
Antoninus Pius	http://www.wikidata.org/entity/Q1429	18	154	155	https://godot.date/id/rAMv7h943Zt3orhichLSC3
Antoninus Pius	http://www.wikidata.org/entity/Q1429	19	155	156	https://godot.date/id/sD7vJh7yTr9rnuFuuH9QDM
Antoninus Pius	http://www.wikidata.org/entity/Q1429	20	156	157	https://godot.date/id/h2wxncpYFGRLpRfKXrsnQi
Antoninus Pius	http://www.wikidata.org/entity/Q1429	21	157	158	https://godot.date/id/qqkUAqkM4aFYBC8jdRGkY8
Antoninus Pius	http://www.wikidata.org/entity/Q1429	22	158	159	https://godot.date/id/TcvozneFrAEhAuG44bbrVX
Antoninus Pius	http://www.wikidata.org/entity/Q1429	23	159	160	https://godot.date/id/fRF8HCbW34zdVv8Ut82vDj
Antoninus Pius	http://www.wikidata.org/entity/Q1429	24	160	161	https://godot.date/id/CoiYxYRCBdzwWu65oYgPp2
Marc Aurel	http://www.wikidata.org/entity/Q1430	1	161	161	https://godot.date/id/LWdJCf6KsZY9oHSkNTqink
Marc Aurel	http://www.wikidata.org/entity/Q1430	2	161	162	https://godot.date/id/x8XkGdikBMKSMT83WW2foH
Marc Aurel	http://www.wikidata.org/entity/Q1430	3	162	163	https://godot.date/id/wN3p6yEYVYWtdWAwR4gfri
Marc Aurel	http://www.wikidata.org/entity/Q1430	4	163	164	https://godot.date/id/sPDp5oPZxgydNuXG3w3qdj
Marc Aurel	http://www.wikidata.org/entity/Q1430	5	164	165	https://godot.date/id/yxPaZZrtZV6ur6CguVU6P8
